Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"[current folder]","2025-05-25 13:23:48 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:23:46 IST",16384,Allocated,Allocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/.",,,,
"[parent folder]","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",16384,Allocated,Allocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/..",,,,
_dfdoc.pdf,"2025-05-25 13:29:22 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:29:20 IST",40169,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/_dfdoc.pdf","d9f7ae16740a82a6d341f8afe9603ab0","1397f80514671997f3e979f2f61a639747a1eae97f64df3bd48d1da83b32b181",application/pdf,pdf
_extdoc.txt,"2025-05-25 13:24:58 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:24:56 IST",0,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/_extdoc.txt","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,txt
_extdoc.txt,"2025-05-25 13:24:58 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:24:56 IST",45,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/_extdoc.txt","b8af30b1ed16ec7749b2d6b091827266","59ca7c058810072812ad040514b42dd4cb1af3d85362f3ae978512a1b4ef218b",text/plain,txt
_mage_1.jpg,"2025-05-25 13:25:38 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:25:37 IST",0,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/_mage_1.jpg","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,jpg
_mage_1.jpg,"2025-05-25 13:25:28 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:25:37 IST",18036,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/_mage_1.jpg","68ad720618db005eb13c46f0b267f308","64915775297aa4f66656f4f580d336c55e959333b9302b14f41738ad2c230047",image/jpeg,jpg
image_1.jpg.crdownload,"2025-05-25 13:25:28 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:25:26 IST",18036,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/image_1.jpg.crdownload","68ad720618db005eb13c46f0b267f308","64915775297aa4f66656f4f580d336c55e959333b9302b14f41738ad2c230047",image/jpeg,crdownload
image_2.webp,"2025-05-25 13:28:02 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:28:00 IST",0,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/image_2.webp","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,webp
image_2.webp,"2025-05-25 13:27:46 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:28:00 IST",29396,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/image_2.webp","bcbffca4619c4eb2f3c1675fa90b152c","368bed6c0da8cceea4bde49400d1ceafa5af15f70bffca4a8b8ade1964bade4b",image/webp,webp
image_2.webp.crdownload,"2025-05-25 13:27:46 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:27:44 IST",29396,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/image_2.webp.crdownload","bcbffca4619c4eb2f3c1675fa90b152c","368bed6c0da8cceea4bde49400d1ceafa5af15f70bffca4a8b8ade1964bade4b",image/webp,crdownload
mso53CF.tmp,"2025-05-25 13:29:22 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:29:21 IST",38906,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/mso53CF.tmp","1f5ad26dc3578bdf42f4f2b46cd0276f","dc8de56535a75d8420021beef27331caa78ff7fe064003927555197ea29160f7",application/octet-stream,tmp
mso55F3.tmp,"2025-05-25 13:29:22 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:29:21 IST",40169,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/mso55F3.tmp","d9f7ae16740a82a6d341f8afe9603ab0","1397f80514671997f3e979f2f61a639747a1eae97f64df3bd48d1da83b32b181",application/pdf,tmp
"This is a pdf document for file.pdf","2025-05-25 13:29:22 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:29:20 IST",0,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/This is a pdf document for file.pdf","d41d8cd98f00b204e9800998ecf8427e","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855",application/octet-stream,pdf
"This is a pdf document for file.pdf","2025-05-25 13:29:22 IST","0000-00-00 00:00:00","2025-05-25 00:00:00 IST","2025-05-25 13:29:20 IST",40169,Unallocated,Unallocated,unknown,"/img_drive_image.001/vol_vol2/testfolder/This is a pdf document for file.pdf","d9f7ae16740a82a6d341f8afe9603ab0","1397f80514671997f3e979f2f61a639747a1eae97f64df3bd48d1da83b32b181",application/pdf,pdf
